,Last Refresh: 2024-11-24 19:15:48,,,
Calendar Basis,,,,
Portfolio, ,원,,
Item, , ,,
Frequency,일간,KRW,,
Non-Trading Day,Previous,Asc,,
Include Weekend,ALL, ,,
Term,20071020,20241120,,
Symbol,I.001,I.101,I.201,I.253
Symbol Name,코스피,코스피 200,코스닥,코스닥 150
Kind,IDX,IDX,IDX,IDX
Item,I31000040F,I31000040F,I31000040F,I31000040F
Item Name,종가지수(포인트),종가지수(포인트),종가지수(포인트),종가지수(포인트)
Frequency,DAILY,DAILY,DAILY,DAILY
2007-10-20,"1,970.10",248.35,786.93,
2007-10-21,"1,970.10",248.35,786.93,
2007-10-22,"1,903.81",239.94,768.90,
2007-10-23,"1,947.98",244.90,789.00,
2007-10-24,"1,933.36",243.31,781.79,
2007-10-25,"1,976.75",248.80,793.70,
2007-10-26,"2,028.06",255.65,799.06,
2007-10-27,"2,028.06",255.65,799.06,
2007-10-28,"2,028.06",255.65,799.06,
2007-10-29,"2,062.92",260.40,807.31,
2007-10-30,"2,052.37",258.87,804.99,
2007-10-31,"2,064.85",260.42,810.07,
2007-11-01,"2,063.14",260.76,809.50,
2007-11-02,"2,019.34",254.74,797.66,
2007-11-03,"2,019.34",254.74,797.66,
2007-11-04,"2,019.34",254.74,797.66,
2007-11-05,"2,015.76",253.91,794.65,
2007-11-06,"2,054.24",259.24,800.92,
2007-11-07,"2,043.19",258.74,794.08,
2007-11-08,"1,979.56",249.97,779.65,
2007-11-09,"1,990.47",252.21,779.04,
2007-11-10,"1,990.47",252.21,779.04,
2007-11-11,"1,990.47",252.21,779.04,
2007-11-12,"1,923.42",243.89,754.73,
2007-11-13,"1,932.89",244.73,756.59,
2007-11-14,"1,972.58",250.21,764.15,
2007-11-15,"1,947.74",247.39,751.27,
2007-11-16,"1,926.20",244.13,755.29,
2007-11-17,"1,926.20",244.13,755.29,
2007-11-18,"1,926.20",244.13,755.29,
2007-11-19,"1,893.47",239.78,750.79,
2007-11-20,"1,872.24",236.91,739.47,
2007-11-21,"1,806.99",228.84,727.33,
2007-11-22,"1,799.02",228.10,722.04,
2007-11-23,"1,772.88",225.54,700.68,
2007-11-24,"1,772.88",225.54,700.68,
2007-11-25,"1,772.88",225.54,700.68,
2007-11-26,"1,855.33",236.01,721.41,
2007-11-27,"1,859.79",236.38,725.55,
2007-11-28,"1,834.69",232.87,723.54,
2007-11-29,"1,877.56",238.68,734.92,
2007-11-30,"1,906.00",241.91,741.84,
2007-12-01,"1,906.00",241.91,741.84,
2007-12-02,"1,906.00",241.91,741.84,
2007-12-03,"1,902.43",241.61,736.93,
2007-12-04,"1,917.83",244.04,747.53,
2007-12-05,"1,938.20",247.03,749.95,
2007-12-06,"1,953.17",249.63,751.57,
2007-12-07,"1,934.32",247.38,747.65,
2007-12-08,"1,934.32",247.38,747.65,
2007-12-09,"1,934.32",247.38,747.65,
2007-12-10,"1,906.42",244.25,739.19,
2007-12-11,"1,925.07",246.85,734.33,
2007-12-12,"1,927.45",247.15,729.52,
2007-12-13,"1,915.90",245.21,733.68,
2007-12-14,"1,895.05",241.50,725.53,
2007-12-15,"1,895.05",241.50,725.53,
2007-12-16,"1,895.05",241.50,725.53,
2007-12-17,"1,839.82",234.33,702.49,
2007-12-18,"1,861.47",236.65,709.47,
2007-12-19,"1,861.47",236.65,709.47,
2007-12-20,"1,844.37",234.40,700.69,
2007-12-21,"1,878.32",239.60,697.46,
2007-12-22,"1,878.32",239.60,697.46,
2007-12-23,"1,878.32",239.60,697.46,
2007-12-24,"1,919.47",245.14,698.73,
2007-12-25,"1,919.47",245.14,698.73,
2007-12-26,"1,906.72",243.48,692.02,
2007-12-27,"1,908.62",243.38,699.65,
2007-12-28,"1,897.13",241.27,704.23,
2007-12-29,"1,897.13",241.27,704.23,
2007-12-30,"1,897.13",241.27,704.23,
2007-12-31,"1,897.13",241.27,704.23,
2008-01-01,"1,897.13",241.27,704.23,
2008-01-02,"1,853.45",235.30,707.12,
2008-01-03,"1,852.73",234.67,714.00,
2008-01-04,"1,863.90",235.77,719.25,
2008-01-05,"1,863.90",235.77,719.25,
2008-01-06,"1,863.90",235.77,719.25,
2008-01-07,"1,831.14",231.00,711.77,
2008-01-08,"1,826.23",230.34,709.31,
2008-01-09,"1,844.47",232.53,712.71,
2008-01-10,"1,824.78",229.47,713.36,
2008-01-11,"1,782.27",224.41,699.24,
2008-01-12,"1,782.27",224.41,699.24,
2008-01-13,"1,782.27",224.41,699.24,
2008-01-14,"1,765.88",222.81,688.59,
2008-01-15,"1,746.95",220.91,673.25,
2008-01-16,"1,704.97",215.87,651.36,
2008-01-17,"1,723.55",218.83,651.91,
2008-01-18,"1,734.72",219.87,666.32,
2008-01-19,"1,734.72",219.87,666.32,
2008-01-20,"1,734.72",219.87,666.32,
2008-01-21,"1,683.56",213.60,651.87,
2008-01-22,"1,609.02",204.55,614.80,
2008-01-23,"1,628.42",207.23,619.98,
2008-01-24,"1,663.00",211.20,638.98,
2008-01-25,"1,692.41",215.06,653.78,
2008-01-26,"1,692.41",215.06,653.78,
2008-01-27,"1,692.41",215.06,653.78,
2008-01-28,"1,627.19",206.52,634.52,
2008-01-29,"1,637.91",208.80,632.67,
2008-01-30,"1,589.06",203.50,603.11,
2008-01-31,"1,624.68",207.77,608.84,
2008-02-01,"1,634.53",209.08,612.57,
2008-02-02,"1,634.53",209.08,612.57,
2008-02-03,"1,634.53",209.08,612.57,
2008-02-04,"1,690.13",216.23,638.38,
2008-02-05,"1,696.57",216.91,642.35,
2008-02-06,"1,696.57",216.91,642.35,
2008-02-07,"1,696.57",216.91,642.35,
2008-02-08,"1,696.57",216.91,642.35,
2008-02-09,"1,696.57",216.91,642.35,
2008-02-10,"1,696.57",216.91,642.35,
2008-02-11,"1,640.67",208.92,629.94,
2008-02-12,"1,643.29",209.01,636.29,
2008-02-13,"1,631.78",207.56,635.89,
2008-02-14,"1,697.45",216.20,649.53,
2008-02-15,"1,694.77",215.38,651.57,
2008-02-16,"1,694.77",215.38,651.57,
2008-02-17,"1,694.77",215.38,651.57,
2008-02-18,"1,696.24",215.46,654.71,
2008-02-19,"1,720.52",218.37,660.75,
2008-02-20,"1,687.91",213.84,652.76,
2008-02-21,"1,704.36",216.38,654.41,
2008-02-22,"1,686.45",213.73,653.12,
2008-02-23,"1,686.45",213.73,653.12,
2008-02-24,"1,686.45",213.73,653.12,
2008-02-25,"1,709.13",217.07,653.83,
2008-02-26,"1,709.13",217.22,656.43,
2008-02-27,"1,720.89",218.87,655.05,
2008-02-28,"1,736.17",220.59,659.28,
2008-02-29,"1,711.62",216.85,655.94,
2008-03-01,"1,711.62",216.85,655.94,
2008-03-02,"1,711.62",216.85,655.94,
2008-03-03,"1,671.73",211.73,644.51,
2008-03-04,"1,676.18",212.14,645.39,
2008-03-05,"1,677.10",212.14,645.43,
2008-03-06,"1,697.44",214.92,652.55,
2008-03-07,"1,663.97",210.57,643.75,
2008-03-08,"1,663.97",210.57,643.75,
2008-03-09,"1,663.97",210.57,643.75,
2008-03-10,"1,625.17",206.29,622.60,
2008-03-11,"1,641.48",208.06,627.14,
2008-03-12,"1,658.83",210.49,631.29,
2008-03-13,"1,615.62",204.42,621.81,
2008-03-14,"1,600.26",202.63,617.71,
2008-03-15,"1,600.26",202.63,617.71,
2008-03-16,"1,600.26",202.63,617.71,
2008-03-17,"1,574.44",199.68,600.68,
2008-03-18,"1,588.75",201.79,600.10,
2008-03-19,"1,622.23",206.48,612.13,
2008-03-20,"1,623.39",206.62,609.32,
2008-03-21,"1,645.69",209.69,615.93,
2008-03-22,"1,645.69",209.69,615.93,
2008-03-23,"1,645.69",209.69,615.93,
2008-03-24,"1,655.30",211.00,619.60,
2008-03-25,"1,674.93",213.73,628.22,
2008-03-26,"1,679.67",214.41,628.38,
2008-03-27,"1,676.24",213.85,629.61,
2008-03-28,"1,701.83",217.22,636.67,
2008-03-29,"1,701.83",217.22,636.67,
2008-03-30,"1,701.83",217.22,636.67,
2008-03-31,"1,703.99",217.65,644.45,
2008-04-01,"1,702.25",217.81,643.46,
2008-04-02,"1,742.19",223.76,647.92,
2008-04-03,"1,763.63",226.99,649.26,
2008-04-04,"1,766.49",226.95,648.49,
2008-04-05,"1,766.49",226.95,648.49,
2008-04-06,"1,766.49",226.95,648.49,
2008-04-07,"1,773.56",227.79,654.10,
2008-04-08,"1,754.71",225.10,651.83,
2008-04-09,"1,754.71",225.10,651.83,
2008-04-10,"1,764.64",226.44,652.68,
2008-04-11,"1,779.71",228.80,651.87,
2008-04-12,"1,779.71",228.80,651.87,
2008-04-13,"1,779.71",228.80,651.87,
2008-04-14,"1,746.71",224.54,641.03,
2008-04-15,"1,742.17",223.51,641.87,
2008-04-16,"1,758.56",225.36,641.71,
2008-04-17,"1,768.67",226.98,641.60,
2008-04-18,"1,771.90",227.25,643.75,
2008-04-19,"1,771.90",227.25,643.75,
2008-04-20,"1,771.90",227.25,643.75,
2008-04-21,"1,800.48",231.11,650.06,
2008-04-22,"1,787.49",229.22,650.58,
2008-04-23,"1,800.79",230.56,650.68,
2008-04-24,"1,799.34",230.77,648.79,
2008-04-25,"1,824.68",234.56,654.70,
2008-04-26,"1,824.68",234.56,654.70,
2008-04-27,"1,824.68",234.56,654.70,
2008-04-28,"1,823.17",234.97,647.60,
2008-04-29,"1,811.51",233.24,644.40,
2008-04-30,"1,825.47",235.00,647.02,
2008-05-01,"1,825.47",235.00,647.02,
2008-05-02,"1,848.27",238.18,655.80,
2008-05-03,"1,848.27",238.18,655.80,
2008-05-04,"1,848.27",238.18,655.80,
2008-05-05,"1,848.27",238.18,655.80,
2008-05-06,"1,859.06",239.53,652.91,
2008-05-07,"1,854.01",238.66,645.62,
2008-05-08,"1,848.00",237.37,649.29,
2008-05-09,"1,823.70",233.98,653.29,
2008-05-10,"1,823.70",233.98,653.29,
2008-05-11,"1,823.70",233.98,653.29,
2008-05-12,"1,823.70",233.98,653.29,
2008-05-13,"1,842.80",237.02,655.44,
2008-05-14,"1,843.75",237.04,652.14,
2008-05-15,"1,885.71",243.11,653.54,
2008-05-16,"1,888.88",243.54,652.56,
2008-05-17,"1,888.88",243.54,652.56,
2008-05-18,"1,888.88",243.54,652.56,
2008-05-19,"1,885.37",242.67,652.65,
2008-05-20,"1,873.15",240.62,650.10,
2008-05-21,"1,847.51",237.15,645.48,
2008-05-22,"1,835.42",235.31,647.15,
2008-05-23,"1,827.94",234.14,649.00,
2008-05-24,"1,827.94",234.14,649.00,
2008-05-25,"1,827.94",234.14,649.00,
2008-05-26,"1,800.58",230.43,641.10,
2008-05-27,"1,825.23",233.97,644.38,
2008-05-28,"1,805.64",231.17,640.96,
2008-05-29,"1,841.22",236.39,646.80,
2008-05-30,"1,852.02",237.46,652.15,
2008-05-31,"1,852.02",237.46,652.15,
2008-06-01,"1,852.02",237.46,652.15,
2008-06-02,"1,847.53",236.78,651.11,
2008-06-03,"1,819.39",233.14,643.67,
2008-06-04,"1,833.81",235.09,645.85,
2008-06-05,"1,832.31",234.76,644.09,
2008-06-06,"1,832.31",234.76,644.09,
2008-06-07,"1,832.31",234.76,644.09,
2008-06-08,"1,832.31",234.76,644.09,
2008-06-09,"1,808.96",231.35,637.00,
2008-06-10,"1,774.38",226.56,626.01,
2008-06-11,"1,781.67",227.42,628.67,
2008-06-12,"1,739.36",221.17,624.20,
2008-06-13,"1,747.35",222.79,622.15,
2008-06-14,"1,747.35",222.79,622.15,
2008-06-15,"1,747.35",222.79,622.15,
2008-06-16,"1,760.82",224.91,621.02,
2008-06-17,"1,750.71",223.66,612.41,
2008-06-18,"1,774.13",226.60,614.83,
2008-06-19,"1,740.72",222.03,610.99,
2008-06-20,"1,731.00",220.57,609.16,
2008-06-21,"1,731.00",220.57,609.16,
2008-06-22,"1,731.00",220.57,609.16,
2008-06-23,"1,715.59",218.51,605.71,
2008-06-24,"1,710.84",217.97,600.36,
2008-06-25,"1,717.79",218.95,601.72,
2008-06-26,"1,717.66",219.12,602.74,
2008-06-27,"1,684.45",214.59,594.63,
2008-06-28,"1,684.45",214.59,594.63,
2008-06-29,"1,684.45",214.59,594.63,
2008-06-30,"1,674.92",213.52,590.19,
2008-07-01,"1,666.46",213.02,580.77,
2008-07-02,"1,623.60",207.96,556.79,
2008-07-03,"1,606.54",205.71,546.49,
2008-07-04,"1,577.94",201.74,538.30,
2008-07-05,"1,577.94",201.74,538.30,
2008-07-06,"1,577.94",201.74,538.30,
2008-07-07,"1,579.72",202.34,534.17,
2008-07-08,"1,533.47",196.52,515.92,
2008-07-09,"1,519.38",194.61,522.29,
2008-07-10,"1,537.43",196.34,531.61,
2008-07-11,"1,567.51",200.12,542.96,
2008-07-12,"1,567.51",200.12,542.96,
2008-07-13,"1,567.51",200.12,542.96,
2008-07-14,"1,558.62",199.12,541.12,
2008-07-15,"1,509.33",193.01,523.02,
2008-07-16,"1,507.40",192.48,520.84,
2008-07-17,"1,525.56",194.89,527.81,
2008-07-18,"1,509.99",192.86,522.53,
2008-07-19,"1,509.99",192.86,522.53,
2008-07-20,"1,509.99",192.86,522.53,
2008-07-21,"1,562.92",200.00,531.25,
2008-07-22,"1,561.23",199.77,529.73,
2008-07-23,"1,591.76",203.64,536.23,
2008-07-24,"1,626.14",208.34,546.65,
2008-07-25,"1,597.93",204.27,543.26,
2008-07-26,"1,597.93",204.27,543.26,
2008-07-27,"1,597.93",204.27,543.26,
2008-07-28,"1,598.29",203.97,544.05,
2008-07-29,"1,567.20",199.90,535.36,
2008-07-30,"1,577.70",201.82,538.53,
2008-07-31,"1,594.67",204.12,539.44,
2008-08-01,"1,573.77",201.43,535.76,
2008-08-02,"1,573.77",201.43,535.76,
2008-08-03,"1,573.77",201.43,535.76,
2008-08-04,"1,543.05",197.56,526.49,
2008-08-05,"1,535.54",196.44,519.10,
2008-08-06,"1,578.71",202.28,525.75,
2008-08-07,"1,564.00",200.31,527.15,
2008-08-08,"1,568.72",200.76,525.54,
2008-08-09,"1,568.72",200.76,525.54,
2008-08-10,"1,568.72",200.76,525.54,
2008-08-11,"1,581.09",202.42,527.12,
2008-08-12,"1,577.12",202.12,526.46,
2008-08-13,"1,562.72",200.26,521.72,
2008-08-14,"1,572.19",201.50,522.81,
2008-08-15,"1,572.19",201.50,522.81,
2008-08-16,"1,572.19",201.50,522.81,
2008-08-17,"1,572.19",201.50,522.81,
2008-08-18,"1,567.71",200.97,517.04,
2008-08-19,"1,541.41",197.56,507.81,
2008-08-20,"1,540.71",197.35,504.88,
2008-08-21,"1,512.59",193.85,495.15,
2008-08-22,"1,496.91",192.04,483.47,
2008-08-23,"1,496.91",192.04,483.47,
2008-08-24,"1,496.91",192.04,483.47,
2008-08-25,"1,502.11",192.99,484.37,
2008-08-26,"1,490.25",191.36,477.06,
2008-08-27,"1,493.92",191.60,474.66,
2008-08-28,"1,474.15",188.75,470.08,
2008-08-29,"1,474.24",188.96,470.28,
2008-08-30,"1,474.24",188.96,470.28,
2008-08-31,"1,474.24",188.96,470.28,
2008-09-01,"1,414.43",182.13,439.21,
2008-09-02,"1,407.14",182.41,418.14,
2008-09-03,"1,426.89",184.36,426.37,
2008-09-04,"1,426.43",183.57,438.44,
2008-09-05,"1,404.38",180.49,441.95,
2008-09-06,"1,404.38",180.49,441.95,
2008-09-07,"1,404.38",180.49,441.95,
2008-09-08,"1,476.65",189.97,459.42,
2008-09-09,"1,454.50",186.99,454.82,
2008-09-10,"1,464.98",188.50,451.00,
2008-09-11,"1,443.24",185.27,454.78,
2008-09-12,"1,477.92",189.90,466.91,
2008-09-13,"1,477.92",189.90,466.91,
2008-09-14,"1,477.92",189.90,466.91,
2008-09-15,"1,477.92",189.90,466.91,
2008-09-16,"1,387.75",179.00,429.29,
2008-09-17,"1,425.26",183.54,444.93,
2008-09-18,"1,392.42",179.25,433.76,
2008-09-19,"1,455.78",188.31,446.46,
2008-09-20,"1,455.78",188.31,446.46,
2008-09-21,"1,455.78",188.31,446.46,
2008-09-22,"1,460.34",189.16,441.13,
2008-09-23,"1,481.37",191.58,445.72,
2008-09-24,"1,495.98",193.18,448.80,
2008-09-25,"1,501.63",193.87,451.03,
2008-09-26,"1,476.33",190.60,448.34,
2008-09-27,"1,476.33",190.60,448.34,
2008-09-28,"1,476.33",190.60,448.34,
2008-09-29,"1,456.36",188.10,446.05,
2008-09-30,"1,448.06",186.62,440.77,
2008-10-01,"1,439.67",185.52,440.95,
2008-10-02,"1,419.65",182.70,432.10,
2008-10-03,"1,419.65",182.70,432.10,
2008-10-04,"1,419.65",182.70,432.10,
2008-10-05,"1,419.65",182.70,432.10,
2008-10-06,"1,358.75",175.03,406.39,
2008-10-07,"1,366.10",176.46,401.95,
2008-10-08,"1,286.69",167.16,371.47,
2008-10-09,"1,294.89",168.86,369.84,
2008-10-10,"1,241.47",162.05,350.28,
2008-10-11,"1,241.47",162.05,350.28,
2008-10-12,"1,241.47",162.05,350.28,
2008-10-13,"1,288.53",167.91,368.17,
2008-10-14,"1,367.69",178.15,396.32,
2008-10-15,"1,340.28",174.28,390.28,
2008-10-16,"1,213.78",157.63,354.43,
2008-10-17,"1,180.67",153.06,352.18,
2008-10-18,"1,180.67",153.06,352.18,
2008-10-19,"1,180.67",153.06,352.18,
2008-10-20,"1,207.63",157.51,353.09,
2008-10-21,"1,196.10",155.80,350.97,
2008-10-22,"1,134.59",148.13,335.53,
2008-10-23,"1,049.71",137.47,308.95,
2008-10-24,938.75,123.27,276.68,
2008-10-25,938.75,123.27,276.68,
2008-10-26,938.75,123.27,276.68,
2008-10-27,946.45,125.93,261.19,
2008-10-28,999.16,132.42,272.43,
2008-10-29,968.97,128.68,265.59,
2008-10-30,"1,084.72",144.42,296.05,
2008-10-31,"1,113.06",147.50,308.03,
2008-11-01,"1,113.06",147.50,308.03,
2008-11-02,"1,113.06",147.50,308.03,
2008-11-03,"1,129.08",148.81,325.56,
2008-11-04,"1,153.35",151.63,335.49,
2008-11-05,"1,181.50",154.93,340.85,
2008-11-06,"1,092.22",143.37,311.96,
2008-11-07,"1,134.49",148.44,325.54,
2008-11-08,"1,134.49",148.44,325.54,
2008-11-09,"1,134.49",148.44,325.54,
2008-11-10,"1,152.46",150.84,332.17,
2008-11-11,"1,128.73",147.67,325.74,
2008-11-12,"1,123.86",147.27,323.24,
2008-11-13,"1,088.44",142.70,311.55,
2008-11-14,"1,088.26",142.26,317.45,
2008-11-15,"1,088.26",142.26,317.45,
2008-11-16,"1,088.26",142.26,317.45,
2008-11-17,"1,078.32",140.57,314.98,
2008-11-18,"1,036.16",134.88,305.26,
2008-11-19,"1,016.82",132.33,297.41,
2008-11-20,948.69,123.54,273.06,
2008-11-21,"1,003.73",130.76,290.12,
2008-11-22,"1,003.73",130.76,290.12,
2008-11-23,"1,003.73",130.76,290.12,
2008-11-24,970.14,126.02,284.50,
2008-11-25,983.32,128.01,287.39,
2008-11-26,"1,029.78",134.50,295.51,
2008-11-27,"1,063.48",139.17,304.36,
2008-11-28,"1,076.07",140.66,307.48,
2008-11-29,"1,076.07",140.66,307.48,
2008-11-30,"1,076.07",140.66,307.48,
2008-12-01,"1,058.62",138.33,308.20,
2008-12-02,"1,023.20",133.70,299.58,
2008-12-03,"1,022.67",133.62,301.44,
2008-12-04,"1,006.54",131.43,298.92,
2008-12-05,"1,028.13",134.33,302.16,
2008-12-06,"1,028.13",134.33,302.16,
2008-12-07,"1,028.13",134.33,302.16,
2008-12-08,"1,105.05",144.89,316.71,
2008-12-09,"1,105.84",145.20,318.25,
2008-12-10,"1,145.87",150.73,324.15,
2008-12-11,"1,154.43",151.93,328.49,
2008-12-12,"1,103.82",144.38,320.07,
2008-12-13,"1,103.82",144.38,320.07,
2008-12-14,"1,103.82",144.38,320.07,
2008-12-15,"1,158.19",151.43,335.15,
2008-12-16,"1,161.56",151.35,337.85,
2008-12-17,"1,169.75",152.62,338.83,
2008-12-18,"1,175.91",153.24,340.30,
2008-12-19,"1,180.97",154.10,342.45,
2008-12-20,"1,180.97",154.10,342.45,
2008-12-21,"1,180.97",154.10,342.45,
2008-12-22,"1,179.61",153.98,346.04,
2008-12-23,"1,144.31",148.93,338.76,
2008-12-24,"1,128.51",147.02,333.73,
2008-12-25,"1,128.51",147.02,333.73,
2008-12-26,"1,117.86",145.81,332.26,
2008-12-27,"1,117.86",145.81,332.26,
2008-12-28,"1,117.86",145.81,332.26,
2008-12-29,"1,117.59",145.72,329.18,
2008-12-30,"1,124.47",146.35,332.05,
2008-12-31,"1,124.47",146.35,332.05,
2009-01-01,"1,124.47",146.35,332.05,
2009-01-02,"1,157.40",151.15,339.76,
2009-01-03,"1,157.40",151.15,339.76,
2009-01-04,"1,157.40",151.15,339.76,
2009-01-05,"1,173.57",153.83,342.77,
2009-01-06,"1,194.28",156.79,348.41,
2009-01-07,"1,228.17",161.36,356.13,
2009-01-08,"1,205.70",157.76,356.52,
2009-01-09,"1,180.96",154.17,358.48,
2009-01-10,"1,180.96",154.17,358.48,
2009-01-11,"1,180.96",154.17,358.48,
2009-01-12,"1,156.75",151.01,351.35,
2009-01-13,"1,167.71",152.45,355.13,
2009-01-14,"1,182.68",154.50,364.63,
2009-01-15,"1,111.34",145.05,343.35,
2009-01-16,"1,135.20",148.03,354.60,
2009-01-17,"1,135.20",148.03,354.60,
2009-01-18,"1,135.20",148.03,354.60,
2009-01-19,"1,150.65",150.02,363.13,
2009-01-20,"1,126.81",146.55,358.19,
2009-01-21,"1,103.61",143.29,352.43,
2009-01-22,"1,116.23",145.11,358.58,
2009-01-23,"1,093.40",141.75,352.83,
2009-01-24,"1,093.40",141.75,352.83,
2009-01-25,"1,093.40",141.75,352.83,
2009-01-26,"1,093.40",141.75,352.83,
2009-01-27,"1,093.40",141.75,352.83,
2009-01-28,"1,157.98",151.04,361.68,
2009-01-29,"1,166.56",152.29,363.98,
2009-01-30,"1,162.11",151.33,364.90,
2009-01-31,"1,162.11",151.33,364.90,
2009-02-01,"1,162.11",151.33,364.90,
2009-02-02,"1,146.95",149.00,365.77,
2009-02-03,"1,163.20",151.42,372.28,
2009-02-04,"1,195.37",155.99,378.88,
2009-02-05,"1,177.88",154.00,373.49,
2009-02-06,"1,210.26",158.90,378.79,
2009-02-07,"1,210.26",158.90,378.79,
2009-02-08,"1,210.26",158.90,378.79,
2009-02-09,"1,202.69",157.70,376.83,
2009-02-10,"1,198.87",156.84,380.26,
2009-02-11,"1,190.18",155.26,383.41,
2009-02-12,"1,179.84",153.66,385.92,
2009-02-13,"1,192.44",155.19,395.69,
2009-02-14,"1,192.44",155.19,395.69,
2009-02-15,"1,192.44",155.19,395.69,
2009-02-16,"1,175.47",152.66,402.87,
2009-02-17,"1,127.19",146.60,383.17,
2009-02-18,"1,113.19",144.21,390.07,
2009-02-19,"1,107.10",143.60,384.67,
2009-02-20,"1,065.95",138.31,367.14,
2009-02-21,"1,065.95",138.31,367.14,
2009-02-22,"1,065.95",138.31,367.14,
2009-02-23,"1,099.55",142.78,375.57,
2009-02-24,"1,063.88",137.82,370.11,
2009-02-25,"1,067.08",138.65,362.08,
2009-02-26,"1,054.79",136.98,358.65,
2009-02-27,"1,063.03",138.07,363.21,
2009-02-28,"1,063.03",138.07,363.21,
2009-03-01,"1,063.03",138.07,363.21,
2009-03-02,"1,018.81",132.47,349.71,
2009-03-03,"1,025.57",133.78,347.76,
2009-03-04,"1,059.26",138.21,359.90,
2009-03-05,"1,058.18",138.25,362.16,
2009-03-06,"1,055.03",137.83,365.18,
2009-03-07,"1,055.03",137.83,365.18,
2009-03-08,"1,055.03",137.83,365.18,
2009-03-09,"1,071.73",140.00,378.73,
2009-03-10,"1,092.20",142.73,377.92,
2009-03-11,"1,127.51",147.60,385.69,
2009-03-12,"1,128.39",148.02,386.59,
2009-03-13,"1,126.03",147.29,389.27,
2009-03-14,"1,126.03",147.29,389.27,
2009-03-15,"1,126.03",147.29,389.27,
2009-03-16,"1,125.46",147.00,387.77,
2009-03-17,"1,163.88",152.17,394.66,
2009-03-18,"1,169.95",152.89,398.60,
2009-03-19,"1,161.81",151.51,393.94,
2009-03-20,"1,170.94",152.58,400.71,
2009-03-21,"1,170.94",152.58,400.71,
2009-03-22,"1,170.94",152.58,400.71,
2009-03-23,"1,199.50",156.42,409.23,
2009-03-24,"1,221.70",159.56,412.39,
2009-03-25,"1,229.02",160.28,419.29,
2009-03-26,"1,243.80",162.22,427.27,
2009-03-27,"1,237.51",161.66,421.24,
2009-03-28,"1,237.51",161.66,421.24,
2009-03-29,"1,237.51",161.66,421.24,
2009-03-30,"1,197.46",156.23,412.01,
2009-03-31,"1,206.26",157.01,421.44,
2009-04-01,"1,233.36",160.46,430.97,
2009-04-02,"1,276.97",166.18,439.84,
2009-04-03,"1,283.75",167.11,439.16,
2009-04-04,"1,283.75",167.11,439.16,
2009-04-05,"1,283.75",167.11,439.16,
2009-04-06,"1,297.85",168.62,447.94,
2009-04-07,"1,300.10",168.34,458.57,
2009-04-08,"1,262.07",162.68,460.83,
2009-04-09,"1,316.35",169.48,481.45,
2009-04-10,"1,336.04",172.01,493.26,
2009-04-11,"1,336.04",172.01,493.26,
2009-04-12,"1,336.04",172.01,493.26,
2009-04-13,"1,338.26",171.69,507.23,
2009-04-14,"1,342.63",172.03,508.68,
2009-04-15,"1,333.09",171.21,502.20,
2009-04-16,"1,336.72",171.73,497.52,
2009-04-17,"1,329.00",171.33,483.80,
2009-04-18,"1,329.00",171.33,483.80,
2009-04-19,"1,329.00",171.33,483.80,
2009-04-20,"1,336.39",172.30,491.94,
2009-04-21,"1,336.81",171.96,497.19,
2009-04-22,"1,356.02",174.40,509.90,
2009-04-23,"1,368.80",176.14,514.09,
2009-04-24,"1,354.10",174.13,507.50,
2009-04-25,"1,354.10",174.13,507.50,
2009-04-26,"1,354.10",174.13,507.50,
2009-04-27,"1,339.83",172.13,505.97,
2009-04-28,"1,300.24",167.24,479.37,
2009-04-29,"1,338.42",172.08,494.47,
2009-04-30,"1,369.36",176.00,500.98,
2009-05-01,"1,369.36",176.00,500.98,
2009-05-02,"1,369.36",176.00,500.98,
2009-05-03,"1,369.36",176.00,500.98,
2009-05-04,"1,397.92",179.69,507.01,
2009-05-05,"1,397.92",179.69,507.01,
2009-05-06,"1,393.45",178.82,510.02,
2009-05-07,"1,401.08",179.74,513.95,
2009-05-08,"1,412.13",181.04,517.83,
2009-05-09,"1,412.13",181.04,517.83,
2009-05-10,"1,412.13",181.04,517.83,
2009-05-11,"1,415.16",181.35,523.91,
2009-05-12,"1,403.51",179.73,526.18,
2009-05-13,"1,414.52",181.14,535.95,
2009-05-14,"1,380.95",176.29,536.78,
2009-05-15,"1,391.73",177.80,543.54,
2009-05-16,"1,391.73",177.80,543.54,
2009-05-17,"1,391.73",177.80,543.54,
2009-05-18,"1,386.68",177.26,545.01,
2009-05-19,"1,428.21",182.76,553.77,
2009-05-20,"1,435.70",183.80,562.57,
2009-05-21,"1,421.65",181.82,559.15,
2009-05-22,"1,403.75",179.01,554.09,
2009-05-23,"1,403.75",179.01,554.09,
2009-05-24,"1,403.75",179.01,554.09,
2009-05-25,"1,400.90",178.57,542.08,
2009-05-26,"1,372.04",174.77,536.54,
2009-05-27,"1,362.02",173.75,524.33,
2009-05-28,"1,392.17",178.19,521.11,
2009-05-29,"1,395.89",178.70,528.80,
2009-05-30,"1,395.89",178.70,528.80,
2009-05-31,"1,395.89",178.70,528.80,
2009-06-01,"1,415.10",180.90,539.56,
2009-06-02,"1,412.85",180.47,538.69,
2009-06-03,"1,414.89",180.31,541.25,
2009-06-04,"1,378.14",175.75,528.00,
2009-06-05,"1,394.71",177.77,529.11,
2009-06-06,"1,394.71",177.77,529.11,
2009-06-07,"1,394.71",177.77,529.11,
