,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2010-10-19,2.78,
2010-10-20,2.82,
2010-10-21,2.84,
2010-10-22,2.8,
2010-10-23,2.8,
2010-10-24,2.8,
2010-10-25,2.79,
2010-10-26,2.74,
2010-10-27,2.77,
2010-10-28,2.76,
2010-10-29,2.78,
2010-10-30,2.78,
2010-10-31,2.78,
2010-11-01,2.88,
2010-11-02,2.9,
2010-11-03,2.91,
2010-11-04,2.97,
2010-11-05,3.02,
2010-11-06,3.02,
2010-11-07,3.02,
2010-11-08,3.01,
2010-11-09,3.02,
2010-11-10,3,
2010-11-11,2.99,
2010-11-12,2.98,
2010-11-13,2.98,
2010-11-14,2.98,
2010-11-15,2.99,
2010-11-16,2.9,
2010-11-17,2.9,
2010-11-18,2.88,
2010-11-19,2.86,
2010-11-20,2.86,
2010-11-21,2.86,
2010-11-22,2.88,
2010-11-23,2.9,
2010-11-24,2.86,
2010-11-25,2.84,
2010-11-26,2.85,
2010-11-27,2.85,
2010-11-28,2.85,
2010-11-29,2.81,
2010-11-30,2.8,
2010-12-01,2.81,
2010-12-02,2.81,
2010-12-03,2.81,
2010-12-04,2.81,
2010-12-05,2.81,
2010-12-06,2.8,
2010-12-07,2.8,
2010-12-08,2.85,
2010-12-09,2.84,
2010-12-10,2.83,
2010-12-11,2.83,
2010-12-12,2.83,
2010-12-13,2.87,
2010-12-14,2.88,
2010-12-15,2.96,
2010-12-16,2.93,
2010-12-17,2.94,
2010-12-18,2.94,
2010-12-19,2.94,
2010-12-20,2.93,
2010-12-21,2.87,
2010-12-22,2.84,
2010-12-23,2.84,
2010-12-24,2.85,
2010-12-25,2.85,
2010-12-26,2.85,
2010-12-27,2.88,
2010-12-28,2.89,
2010-12-29,2.89,
2010-12-30,2.89,
2010-12-31,2.89,
2011-01-01,2.89,
2011-01-02,2.89,
2011-01-03,2.91,
2011-01-04,2.9,
2011-01-05,2.89,
2011-01-06,2.91,
2011-01-07,2.91,
2011-01-08,2.91,
2011-01-09,2.91,
2011-01-10,2.91,
2011-01-11,2.93,
2011-01-12,2.92,
2011-01-13,3,
2011-01-14,3.05,
2011-01-15,3.05,
2011-01-16,3.05,
2011-01-17,3.13,
2011-01-18,3.13,
2011-01-19,3.19,
2011-01-20,3.21,
2011-01-21,3.22,
2011-01-22,3.22,
2011-01-23,3.22,
2011-01-24,3.25,
2011-01-25,3.26,
2011-01-26,3.26,
2011-01-27,3.26,
2011-01-28,3.28,
2011-01-29,3.28,
2011-01-30,3.28,
2011-01-31,3.33,
2011-02-01,3.35,
2011-02-02,3.35,
2011-02-03,3.35,
2011-02-04,3.35,
2011-02-05,3.35,
2011-02-06,3.35,
2011-02-07,3.42,
2011-02-08,3.4,
2011-02-09,3.39,
2011-02-10,3.39,
2011-02-11,3.38,
2011-02-12,3.38,
2011-02-13,3.38,
2011-02-14,3.39,
2011-02-15,3.38,
2011-02-16,3.37,
2011-02-17,3.39,
2011-02-18,3.39,
2011-02-19,3.39,
2011-02-20,3.39,
2011-02-21,3.41,
2011-02-22,3.39,
2011-02-23,3.39,
2011-02-24,3.37,
2011-02-25,3.39,
2011-02-26,3.39,
2011-02-27,3.39,
2011-02-28,3.4,
2011-03-01,3.4,
2011-03-02,3.41,
2011-03-03,3.47,
2011-03-04,3.48,
2011-03-05,3.48,
2011-03-06,3.48,
2011-03-07,3.47,
2011-03-08,3.46,
2011-03-09,3.45,
2011-03-10,3.39,
2011-03-11,3.39,
2011-03-12,3.39,
2011-03-13,3.39,
2011-03-14,3.38,
2011-03-15,3.35,
2011-03-16,3.38,
2011-03-17,3.4,
2011-03-18,3.4,
2011-03-19,3.4,
2011-03-20,3.4,
2011-03-21,3.42,
2011-03-22,3.41,
2011-03-23,3.4,
2011-03-24,3.4,
2011-03-25,3.42,
2011-03-26,3.42,
2011-03-27,3.42,
2011-03-28,3.43,
2011-03-29,3.43,
2011-03-30,3.43,
2011-03-31,3.42,
2011-04-01,3.4,
2011-04-02,3.4,
2011-04-03,3.4,
2011-04-04,3.4,
2011-04-05,3.4,
2011-04-06,3.4,
2011-04-07,3.38,
2011-04-08,3.41,
2011-04-09,3.41,
2011-04-10,3.41,
2011-04-11,3.41,
2011-04-12,3.39,
2011-04-13,3.4,
2011-04-14,3.4,
2011-04-15,3.4,
2011-04-16,3.4,
2011-04-17,3.4,
2011-04-18,3.39,
2011-04-19,3.39,
2011-04-20,3.41,
2011-04-21,3.44,
2011-04-22,3.46,
2011-04-23,3.46,
2011-04-24,3.46,
2011-04-25,3.5,
2011-04-26,3.5,
2011-04-27,3.5,
2011-04-28,3.48,
2011-04-29,3.48,
2011-04-30,3.48,
2011-05-01,3.48,
2011-05-02,3.48,
2011-05-03,3.48,
2011-05-04,3.48,
2011-05-05,3.48,
2011-05-06,3.46,
2011-05-07,3.46,
2011-05-08,3.46,
2011-05-09,3.46,
2011-05-10,3.46,
2011-05-11,3.45,
2011-05-12,3.43,
2011-05-13,3.42,
2011-05-14,3.42,
2011-05-15,3.42,
2011-05-16,3.4,
2011-05-17,3.41,
2011-05-18,3.41,
2011-05-19,3.41,
2011-05-20,3.41,
2011-05-21,3.41,
2011-05-22,3.41,
2011-05-23,3.39,
2011-05-24,3.39,
2011-05-25,3.39,
2011-05-26,3.41,
2011-05-27,3.41,
2011-05-28,3.41,
2011-05-29,3.41,
2011-05-30,3.41,
2011-05-31,3.41,
2011-06-01,3.42,
2011-06-02,3.39,
2011-06-03,3.39,
2011-06-04,3.39,
2011-06-05,3.39,
2011-06-06,3.39,
2011-06-07,3.37,
2011-06-08,3.37,
2011-06-09,3.4,
2011-06-10,3.49,
2011-06-11,3.49,
2011-06-12,3.49,
2011-06-13,3.51,
2011-06-14,3.52,
2011-06-15,3.52,
2011-06-16,3.5,
2011-06-17,3.51,
2011-06-18,3.51,
2011-06-19,3.51,
2011-06-20,3.51,
2011-06-21,3.52,
2011-06-22,3.52,
2011-06-23,3.52,
2011-06-24,3.53,
2011-06-25,3.53,
2011-06-26,3.53,
2011-06-27,3.54,
2011-06-28,3.54,
2011-06-29,3.57,
2011-06-30,3.56,
2011-07-01,3.57,
2011-07-02,3.57,
2011-07-03,3.57,
2011-07-04,3.58,
2011-07-05,3.57,
2011-07-06,3.58,
2011-07-07,3.58,
2011-07-08,3.62,
2011-07-09,3.62,
2011-07-10,3.62,
2011-07-11,3.6,
2011-07-12,3.55,
2011-07-13,3.56,
2011-07-14,3.56,
2011-07-15,3.55,
2011-07-16,3.55,
2011-07-17,3.55,
2011-07-18,3.55,
2011-07-19,3.55,
2011-07-20,3.57,
2011-07-21,3.57,
2011-07-22,3.6,
2011-07-23,3.6,
2011-07-24,3.6,
2011-07-25,3.63,
2011-07-26,3.65,
2011-07-27,3.65,
2011-07-28,3.64,
2011-07-29,3.68,
2011-07-30,3.68,
2011-07-31,3.68,
2011-08-01,3.71,
2011-08-02,3.69,
2011-08-03,3.66,
2011-08-04,3.63,
2011-08-05,3.55,
2011-08-06,3.55,
2011-08-07,3.55,
2011-08-08,3.53,
2011-08-09,3.51,
2011-08-10,3.43,
2011-08-11,3.44,
2011-08-12,3.43,
2011-08-13,3.43,
2011-08-14,3.43,
2011-08-15,3.43,
2011-08-16,3.44,
2011-08-17,3.46,
2011-08-18,3.47,
2011-08-19,3.45,
2011-08-20,3.45,
2011-08-21,3.45,
2011-08-22,3.46,
2011-08-23,3.46,
2011-08-24,3.44,
2011-08-25,3.44,
2011-08-26,3.45,
2011-08-27,3.45,
2011-08-28,3.45,
2011-08-29,3.47,
2011-08-30,3.46,
2011-08-31,3.46,
2011-09-01,3.43,
2011-09-02,3.43,
2011-09-03,3.43,
2011-09-04,3.43,
2011-09-05,3.37,
2011-09-06,3.36,
2011-09-07,3.42,
2011-09-08,3.37,
2011-09-09,3.35,
2011-09-10,3.35,
2011-09-11,3.35,
2011-09-12,3.35,
2011-09-13,3.35,
2011-09-14,3.31,
2011-09-15,3.34,
2011-09-16,3.35,
2011-09-17,3.35,
2011-09-18,3.35,
2011-09-19,3.41,
2011-09-20,3.4,
2011-09-21,3.4,
2011-09-22,3.4,
2011-09-23,3.39,
2011-09-24,3.39,
2011-09-25,3.39,
2011-09-26,3.43,
2011-09-27,3.41,
2011-09-28,3.46,
2011-09-29,3.48,
2011-09-30,3.49,
2011-10-01,3.49,
2011-10-02,3.49,
2011-10-03,3.49,
2011-10-04,3.46,
2011-10-05,3.45,
2011-10-06,3.44,
2011-10-07,3.44,
2011-10-08,3.44,
2011-10-09,3.44,
2011-10-10,3.46,
2011-10-11,3.46,
2011-10-12,3.43,
2011-10-13,3.41,
2011-10-14,3.41,
2011-10-15,3.41,
2011-10-16,3.41,
2011-10-17,3.45,
2011-10-18,3.45,
2011-10-19,3.45,
2011-10-20,3.44,
2011-10-21,3.48,
2011-10-22,3.48,
2011-10-23,3.48,
2011-10-24,3.51,
2011-10-25,3.51,
2011-10-26,3.5,
2011-10-27,3.51,
2011-10-28,3.52,
2011-10-29,3.52,
2011-10-30,3.52,
2011-10-31,3.51,
2011-11-01,3.5,
2011-11-02,3.5,
2011-11-03,3.48,
2011-11-04,3.48,
2011-11-05,3.48,
2011-11-06,3.48,
2011-11-07,3.47,
2011-11-08,3.46,
2011-11-09,3.45,
2011-11-10,3.4,
2011-11-11,3.42,
2011-11-12,3.42,
2011-11-13,3.42,
2011-11-14,3.43,
2011-11-15,3.4,
2011-11-16,3.38,
2011-11-17,3.39,
2011-11-18,3.38,
2011-11-19,3.38,
2011-11-20,3.38,
2011-11-21,3.38,
2011-11-22,3.39,
2011-11-23,3.37,
2011-11-24,3.39,
2011-11-25,3.41,
2011-11-26,3.41,
2011-11-27,3.41,
2011-11-28,3.43,
2011-11-29,3.43,
2011-11-30,3.39,
2011-12-01,3.4,
2011-12-02,3.39,
2011-12-03,3.39,
2011-12-04,3.39,
2011-12-05,3.39,
2011-12-06,3.39,
2011-12-07,3.39,
2011-12-08,3.4,
2011-12-09,3.4,
2011-12-10,3.4,
2011-12-11,3.4,
2011-12-12,3.4,
2011-12-13,3.39,
2011-12-14,3.38,
2011-12-15,3.37,
2011-12-16,3.37,
2011-12-17,3.37,
2011-12-18,3.37,
2011-12-19,3.43,
2011-12-20,3.4,
2011-12-21,3.39,
2011-12-22,3.4,
2011-12-23,3.41,
2011-12-24,3.41,
2011-12-25,3.41,
2011-12-26,3.42,
2011-12-27,3.42,
2011-12-28,3.42,
2011-12-29,3.4,
2011-12-30,3.4,
2011-12-31,3.4,
2012-01-01,3.4,
2012-01-02,3.38,
2012-01-03,3.38,
2012-01-04,3.38,
2012-01-05,3.38,
2012-01-06,3.38,
2012-01-07,3.38,
2012-01-08,3.38,
2012-01-09,3.39,
2012-01-10,3.39,
2012-01-11,3.39,
2012-01-12,3.4,
2012-01-13,3.39,
2012-01-14,3.39,
2012-01-15,3.39,
2012-01-16,3.38,
2012-01-17,3.39,
2012-01-18,3.39,
2012-01-19,3.39,
2012-01-20,3.4,
2012-01-21,3.4,
2012-01-22,3.4,
2012-01-23,3.4,
2012-01-24,3.4,
2012-01-25,3.41,
2012-01-26,3.4,
2012-01-27,3.39,
2012-01-28,3.39,
2012-01-29,3.39,
2012-01-30,3.38,
2012-01-31,3.39,
2012-02-01,3.38,
2012-02-02,3.38,
2012-02-03,3.38,
2012-02-04,3.38,
2012-02-05,3.38,
2012-02-06,3.38,
2012-02-07,3.39,
2012-02-08,3.41,
2012-02-09,3.41,
2012-02-10,3.4,
2012-02-11,3.4,
2012-02-12,3.4,
2012-02-13,3.41,
2012-02-14,3.41,
2012-02-15,3.42,
2012-02-16,3.4,
2012-02-17,3.41,
2012-02-18,3.41,
2012-02-19,3.41,
2012-02-20,3.43,
2012-02-21,3.43,
2012-02-22,3.43,
2012-02-23,3.42,
2012-02-24,3.43,
2012-02-25,3.43,
2012-02-26,3.43,
2012-02-27,3.43,
2012-02-28,3.42,
2012-02-29,3.43,
2012-03-01,3.43,
2012-03-02,3.45,
2012-03-03,3.45,
2012-03-04,3.45,
2012-03-05,3.46,
2012-03-06,3.46,
2012-03-07,3.46,
2012-03-08,3.44,
2012-03-09,3.45,
2012-03-10,3.45,
2012-03-11,3.45,
2012-03-12,3.44,
2012-03-13,3.44,
2012-03-14,3.46,
2012-03-15,3.5,
2012-03-16,3.51,
2012-03-17,3.51,
2012-03-18,3.51,
2012-03-19,3.53,
2012-03-20,3.52,
2012-03-21,3.54,
2012-03-22,3.54,
2012-03-23,3.55,
2012-03-24,3.55,
2012-03-25,3.55,
2012-03-26,3.54,
2012-03-27,3.54,
2012-03-28,3.51,
2012-03-29,3.49,
2012-03-30,3.47,
2012-03-31,3.47,
2012-04-01,3.47,
2012-04-02,3.48,
2012-04-03,3.47,
2012-04-04,3.47,
2012-04-05,3.47,
2012-04-06,3.46,
2012-04-07,3.46,
2012-04-08,3.46,
2012-04-09,3.44,
2012-04-10,3.44,
2012-04-11,3.44,
2012-04-12,3.44,
2012-04-13,3.44,
2012-04-14,3.44,
2012-04-15,3.44,
2012-04-16,3.43,
2012-04-17,3.43,
2012-04-18,3.44,
2012-04-19,3.44,
2012-04-20,3.43,
2012-04-21,3.43,
2012-04-22,3.43,
2012-04-23,3.44,
2012-04-24,3.44,
2012-04-25,3.45,
2012-04-26,3.45,
2012-04-27,3.43,
2012-04-28,3.43,
2012-04-29,3.43,
2012-04-30,3.43,
2012-05-01,3.43,
2012-05-02,3.43,
2012-05-03,3.42,
2012-05-04,3.41,
2012-05-05,3.41,
2012-05-06,3.41,
2012-05-07,3.38,
2012-05-08,3.38,
2012-05-09,3.37,
2012-05-10,3.38,
2012-05-11,3.36,
2012-05-12,3.36,
2012-05-13,3.36,
2012-05-14,3.37,
2012-05-15,3.37,
2012-05-16,3.37,
2012-05-17,3.38,
2012-05-18,3.36,
2012-05-19,3.36,
2012-05-20,3.36,
2012-05-21,3.37,
2012-05-22,3.36,
2012-05-23,3.36,
2012-05-24,3.35,
2012-05-25,3.35,
2012-05-26,3.35,
2012-05-27,3.35,
2012-05-28,3.35,
2012-05-29,3.35,
2012-05-30,3.34,
2012-05-31,3.31,
2012-06-01,3.3,
2012-06-02,3.3,
2012-06-03,3.3,
2012-06-04,3.27,
2012-06-05,3.29,
2012-06-06,3.29,
2012-06-07,3.3,
2012-06-08,3.26,
2012-06-09,3.26,
2012-06-10,3.26,
2012-06-11,3.31,
2012-06-12,3.29,
2012-06-13,3.3,
2012-06-14,3.29,
2012-06-15,3.27,
2012-06-16,3.27,
2012-06-17,3.27,
2012-06-18,3.3,
2012-06-19,3.29,
2012-06-20,3.3,
2012-06-21,3.3,
2012-06-22,3.29,
2012-06-23,3.29,
2012-06-24,3.29,
2012-06-25,3.29,
2012-06-26,3.29,
2012-06-27,3.28,
2012-06-28,3.28,
2012-06-29,3.31,
2012-06-30,3.31,
2012-07-01,3.31,
2012-07-02,3.31,
2012-07-03,3.3,
2012-07-04,3.29,
2012-07-05,3.28,
2012-07-06,3.25,
2012-07-07,3.25,
2012-07-08,3.25,
2012-07-09,3.23,
2012-07-10,3.23,
2012-07-11,3.21,
2012-07-12,2.99,
2012-07-13,2.97,
2012-07-14,2.97,
2012-07-15,2.97,
2012-07-16,2.97,
2012-07-17,2.94,
2012-07-18,2.91,
2012-07-19,2.91,
2012-07-20,2.88,
2012-07-21,2.88,
2012-07-22,2.88,
2012-07-23,2.82,
2012-07-24,2.83,
2012-07-25,2.78,
2012-07-26,2.8,
2012-07-27,2.85,
2012-07-28,2.85,
2012-07-29,2.85,
2012-07-30,2.84,
2012-07-31,2.84,
2012-08-01,2.82,
2012-08-02,2.79,
2012-08-03,2.77,
2012-08-04,2.77,
2012-08-05,2.77,
2012-08-06,2.78,
2012-08-07,2.77,
2012-08-08,2.76,
2012-08-09,2.81,
2012-08-10,2.79,
2012-08-11,2.79,
2012-08-12,2.79,
2012-08-13,2.82,
2012-08-14,2.86,
2012-08-15,2.86,
2012-08-16,2.93,
2012-08-17,2.91,
2012-08-18,2.91,
2012-08-19,2.91,
2012-08-20,2.93,
2012-08-21,2.9,
2012-08-22,2.9,
2012-08-23,2.88,
2012-08-24,2.85,
2012-08-25,2.85,
2012-08-26,2.85,
2012-08-27,2.84,
2012-08-28,2.85,
2012-08-29,2.83,
2012-08-30,2.82,
2012-08-31,2.81,
2012-09-01,2.81,
2012-09-02,2.81,
2012-09-03,2.8,
2012-09-04,2.81,
2012-09-05,2.79,
2012-09-06,2.8,
2012-09-07,2.85,
2012-09-08,2.85,
2012-09-09,2.85,
2012-09-10,2.84,
2012-09-11,2.82,
2012-09-12,2.84,
2012-09-13,2.9,
2012-09-14,2.89,
2012-09-15,2.89,
2012-09-16,2.89,
2012-09-17,2.92,
2012-09-18,2.89,
2012-09-19,2.91,
2012-09-20,2.86,
2012-09-21,2.88,
2012-09-22,2.88,
2012-09-23,2.88,
2012-09-24,2.87,
2012-09-25,2.86,
2012-09-26,2.85,
2012-09-27,2.86,
2012-09-28,2.84,
2012-09-29,2.84,
2012-09-30,2.84,
2012-10-01,2.84,
2012-10-02,2.81,
2012-10-03,2.81,
2012-10-04,2.8,
2012-10-05,2.81,
2012-10-06,2.81,
2012-10-07,2.81,
2012-10-08,2.82,
2012-10-09,2.82,
2012-10-10,2.77,
2012-10-11,2.8,
2012-10-12,2.82,
2012-10-13,2.82,
2012-10-14,2.82,
2012-10-15,2.81,
2012-10-16,2.83,
2012-10-17,2.85,
2012-10-18,2.86,
2012-10-19,2.83,
2012-10-20,2.83,
2012-10-21,2.83,
2012-10-22,2.84,
2012-10-23,2.81,
2012-10-24,2.8,
2012-10-25,2.8,
2012-10-26,2.78,
2012-10-27,2.78,
2012-10-28,2.78,
2012-10-29,2.78,
2012-10-30,2.78,
2012-10-31,2.77,
2012-11-01,2.77,
2012-11-02,2.78,
2012-11-03,2.78,
2012-11-04,2.78,
2012-11-05,2.8,
2012-11-06,2.78,
2012-11-07,2.78,
2012-11-08,2.76,
2012-11-09,2.78,
2012-11-10,2.78,
2012-11-11,2.78,
2012-11-12,2.78,
2012-11-13,2.76,
2012-11-14,2.77,
2012-11-15,2.77,
2012-11-16,2.76,
2012-11-17,2.76,
2012-11-18,2.76,
2012-11-19,2.77,
2012-11-20,2.78,
2012-11-21,2.78,
2012-11-22,2.8,
2012-11-23,2.83,
2012-11-24,2.83,
2012-11-25,2.83,
2012-11-26,2.82,
2012-11-27,2.84,
2012-11-28,2.83,
2012-11-29,2.83,
2012-11-30,2.84,
2012-12-01,2.84,
2012-12-02,2.84,
2012-12-03,2.82,
2012-12-04,2.8,
2012-12-05,2.81,
2012-12-06,2.79,
2012-12-07,2.78,
2012-12-08,2.78,
2012-12-09,2.78,
2012-12-10,2.8,
2012-12-11,2.8,
2012-12-12,2.8,
2012-12-13,2.82,
2012-12-14,2.82,
2012-12-15,2.82,
2012-12-16,2.82,
2012-12-17,2.82,
2012-12-18,2.83,
2012-12-19,2.83,
2012-12-20,2.82,
2012-12-21,2.8,
2012-12-22,2.8,
2012-12-23,2.8,
2012-12-24,2.81,
2012-12-25,2.81,
2012-12-26,2.81,
2012-12-27,2.8,
2012-12-28,2.78,
2012-12-29,2.78,
2012-12-30,2.78,
2012-12-31,2.78,
2013-01-01,2.78,
2013-01-02,2.78,
2013-01-03,2.74,
2013-01-04,2.72,
2013-01-05,2.72,
2013-01-06,2.72,
2013-01-07,2.72,
2013-01-08,2.71,
2013-01-09,2.71,
2013-01-10,2.68,
2013-01-11,2.71,
2013-01-12,2.71,
2013-01-13,2.71,
2013-01-14,2.72,
2013-01-15,2.7,
2013-01-16,2.71,
2013-01-17,2.71,
2013-01-18,2.72,
2013-01-19,2.72,
2013-01-20,2.72,
2013-01-21,2.72,
2013-01-22,2.72,
2013-01-23,2.71,
2013-01-24,2.71,
2013-01-25,2.71,
2013-01-26,2.71,
2013-01-27,2.71,
2013-01-28,2.73,
2013-01-29,2.74,
2013-01-30,2.76,
2013-01-31,2.75,
2013-02-01,2.75,
2013-02-02,2.75,
2013-02-03,2.75,
2013-02-04,2.74,
2013-02-05,2.72,
2013-02-06,2.7,
2013-02-07,2.7,
2013-02-08,2.7,
2013-02-09,2.7,
2013-02-10,2.7,
2013-02-11,2.7,
2013-02-12,2.69,
2013-02-13,2.7,
2013-02-14,2.7,
2013-02-15,2.69,
2013-02-16,2.69,
2013-02-17,2.69,
2013-02-18,2.68,
2013-02-19,2.66,
2013-02-20,2.68,
2013-02-21,2.66,
2013-02-22,2.67,
2013-02-23,2.67,
2013-02-24,2.67,
2013-02-25,2.67,
2013-02-26,2.64,
2013-02-27,2.62,
2013-02-28,2.63,
2013-03-01,2.63,
2013-03-02,2.63,
2013-03-03,2.63,
2013-03-04,2.63,
2013-03-05,2.62,
2013-03-06,2.63,
2013-03-07,2.64,
2013-03-08,2.64,
2013-03-09,2.64,
2013-03-10,2.64,
2013-03-11,2.64,
2013-03-12,2.6,
2013-03-13,2.6,
2013-03-14,2.6,
2013-03-15,2.6,
2013-03-16,2.6,
2013-03-17,2.6,
2013-03-18,2.59,
2013-03-19,2.59,
2013-03-20,2.59,
2013-03-21,2.59,
2013-03-22,2.58,
2013-03-23,2.58,
2013-03-24,2.58,
2013-03-25,2.59,
2013-03-26,2.59,
2013-03-27,2.59,
2013-03-28,2.5,
2013-03-29,2.55,
2013-03-30,2.55,
2013-03-31,2.55,
2013-04-01,2.52,
2013-04-02,2.51,
2013-04-03,2.51,
2013-04-04,2.51,
2013-04-05,2.47,
2013-04-06,2.47,
2013-04-07,2.47,
2013-04-08,2.49,
2013-04-09,2.51,
2013-04-10,2.5,
2013-04-11,2.63,
2013-04-12,2.67,
2013-04-13,2.67,
2013-04-14,2.67,
2013-04-15,2.65,
2013-04-16,2.62,
2013-04-17,2.62,
2013-04-18,2.6,
2013-04-19,2.63,
2013-04-20,2.63,
2013-04-21,2.63,
2013-04-22,2.64,
2013-04-23,2.63,
2013-04-24,2.64,
2013-04-25,2.61,
2013-04-26,2.58,
2013-04-27,2.58,
2013-04-28,2.58,
2013-04-29,2.58,
2013-04-30,2.56,
2013-05-01,2.56,
2013-05-02,2.52,
2013-05-03,2.54,
2013-05-04,2.54,
2013-05-05,2.54,
2013-05-06,2.63,
2013-05-07,2.6,
2013-05-08,2.61,
2013-05-09,2.59,
2013-05-10,2.58,
2013-05-11,2.58,
2013-05-12,2.58,
2013-05-13,2.58,
2013-05-14,2.56,
2013-05-15,2.55,
2013-05-16,2.55,
2013-05-17,2.55,
2013-05-18,2.55,
2013-05-19,2.55,
2013-05-20,2.57,
2013-05-21,2.57,
2013-05-22,2.57,
2013-05-23,2.57,
2013-05-24,2.58,
2013-05-25,2.58,
2013-05-26,2.58,
2013-05-27,2.57,
2013-05-28,2.59,
2013-05-29,2.67,
2013-05-30,2.65,
2013-05-31,2.66,
2013-06-01,2.66,
2013-06-02,2.66,
2013-06-03,2.64,
2013-06-04,2.64,
2013-06-05,2.66,
2013-06-06,2.66,
2013-06-07,2.61,
2013-06-08,2.61,
2013-06-09,2.61,
2013-06-10,2.62,
2013-06-11,2.63,
2013-06-12,2.67,
2013-06-13,2.61,
2013-06-14,2.57,
2013-06-15,2.57,
2013-06-16,2.57,
2013-06-17,2.61,
2013-06-18,2.58,
2013-06-19,2.62,
2013-06-20,2.7,
2013-06-21,2.75,
2013-06-22,2.75,
2013-06-23,2.75,
2013-06-24,2.8,
2013-06-25,2.73,
2013-06-26,2.71,
2013-06-27,2.71,
2013-06-28,2.67,
2013-06-29,2.67,
2013-06-30,2.67,
2013-07-01,2.74,
2013-07-02,2.69,
2013-07-03,2.68,
2013-07-04,2.67,
2013-07-05,2.67,
2013-07-06,2.67,
2013-07-07,2.67,
2013-07-08,2.68,
2013-07-09,2.67,
2013-07-10,2.64,
2013-07-11,2.59,
2013-07-12,2.62,
2013-07-13,2.62,
2013-07-14,2.62,
2013-07-15,2.65,
2013-07-16,2.65,
2013-07-17,2.65,
2013-07-18,2.62,
2013-07-19,2.62,
2013-07-20,2.62,
2013-07-21,2.62,
2013-07-22,2.63,
2013-07-23,2.65,
2013-07-24,2.66,
2013-07-25,2.7,
2013-07-26,2.69,
2013-07-27,2.69,
2013-07-28,2.69,
2013-07-29,2.67,
2013-07-30,2.68,
2013-07-31,2.69,
2013-08-01,2.68,
2013-08-02,2.7,
2013-08-03,2.7,
2013-08-04,2.7,
2013-08-05,2.67,
2013-08-06,2.67,
2013-08-07,2.67,
2013-08-08,2.65,
2013-08-09,2.64,
2013-08-10,2.64,
2013-08-11,2.64,
2013-08-12,2.64,
2013-08-13,2.65,
2013-08-14,2.67,
2013-08-15,2.67,
2013-08-16,2.67,
2013-08-17,2.67,
2013-08-18,2.67,
2013-08-19,2.68,
2013-08-20,2.65,
2013-08-21,2.67,
2013-08-22,2.69,
2013-08-23,2.67,
2013-08-24,2.67,
2013-08-25,2.67,
2013-08-26,2.66,
2013-08-27,2.66,
2013-08-28,2.66,
2013-08-29,2.66,
2013-08-30,2.65,
2013-08-31,2.65,
2013-09-01,2.65,
2013-09-02,2.68,
2013-09-03,2.68,
2013-09-04,2.68,
2013-09-05,2.72,
2013-09-06,2.72,
2013-09-07,2.72,
2013-09-08,2.72,
2013-09-09,2.69,
2013-09-10,2.71,
2013-09-11,2.69,
2013-09-12,2.67,
2013-09-13,2.68,
2013-09-14,2.68,
2013-09-15,2.68,
2013-09-16,2.65,
2013-09-17,2.64,
2013-09-18,2.64,
2013-09-19,2.64,
2013-09-20,2.64,
2013-09-21,2.64,
2013-09-22,2.64,
2013-09-23,2.62,
2013-09-24,2.64,
2013-09-25,2.65,
2013-09-26,2.66,
2013-09-27,2.65,
2013-09-28,2.65,
2013-09-29,2.65,
2013-09-30,2.64,
2013-10-01,2.66,
2013-10-02,2.65,
2013-10-03,2.65,
2013-10-04,2.65,
2013-10-05,2.65,
2013-10-06,2.65,
2013-10-07,2.66,
2013-10-08,2.67,
2013-10-09,2.67,
2013-10-10,2.68,
2013-10-11,2.67,
2013-10-12,2.67,
2013-10-13,2.67,
2013-10-14,2.68,
2013-10-15,2.68,
2013-10-16,2.67,
2013-10-17,2.66,
2013-10-18,2.65,
2013-10-19,2.65,
2013-10-20,2.65,
2013-10-21,2.66,
2013-10-22,2.66,
2013-10-23,2.63,
2013-10-24,2.64,
2013-10-25,2.64,
2013-10-26,2.64,
2013-10-27,2.64,
2013-10-28,2.66,
2013-10-29,2.648,
2013-10-30,2.639,
2013-10-31,2.656,
2013-11-01,2.667,
2013-11-02,2.667,
2013-11-03,2.667,
2013-11-04,2.681,
2013-11-05,2.697,
2013-11-06,2.693,
2013-11-07,2.7,
2013-11-08,2.686,
2013-11-09,2.686,
2013-11-10,2.686,
2013-11-11,2.741,
2013-11-12,2.739,
2013-11-13,2.718,
2013-11-14,2.712,
2013-11-15,2.706,
2013-11-16,2.706,
2013-11-17,2.706,
2013-11-18,2.699,
2013-11-19,2.707,
2013-11-20,2.707,
2013-11-21,2.712,
2013-11-22,2.699,
2013-11-23,2.699,
2013-11-24,2.699,
2013-11-25,2.705,
2013-11-26,2.698,
2013-11-27,2.701,
2013-11-28,2.71,
2013-11-29,2.722,
2013-11-30,2.722,
2013-12-01,2.722,
2013-12-02,2.74,
2013-12-03,2.732,
2013-12-04,2.716,
2013-12-05,2.716,
2013-12-06,2.703,
2013-12-07,2.703,
2013-12-08,2.703,
2013-12-09,2.686,
2013-12-10,2.687,
2013-12-11,2.698,
2013-12-12,2.699,
2013-12-13,2.678,
