,Last Refresh: 2024-11-24 19:29:00,
Calendar Basis,,
Portfolio, ,Default
Item, , 
Frequency,일간,KRW
Non-Trading Day,Previous,Asc
Include Weekend,ALL, 
Term,20071020,20241120
Symbol,Economy,
Symbol Name,ECO,
Kind,ECO,
Item,E11.02.003.013,
Item Name,시장금리:국고1년(%),
Frequency,D,
2008-06-29,5.29,
2008-06-30,5.35,
2008-07-01,5.33,
2008-07-02,5.38,
2008-07-03,5.43,
2008-07-04,5.42,
2008-07-05,5.42,
2008-07-06,5.42,
2008-07-07,5.37,
2008-07-08,5.33,
2008-07-09,5.29,
2008-07-10,5.32,
2008-07-11,5.43,
2008-07-12,5.43,
2008-07-13,5.43,
2008-07-14,5.48,
2008-07-15,5.5,
2008-07-16,5.51,
2008-07-17,5.5,
2008-07-18,5.5,
2008-07-19,5.5,
2008-07-20,5.5,
2008-07-21,5.54,
2008-07-22,5.43,
2008-07-23,5.4,
2008-07-24,5.38,
2008-07-25,5.37,
2008-07-26,5.37,
2008-07-27,5.37,
2008-07-28,5.41,
2008-07-29,5.39,
2008-07-30,5.37,
2008-07-31,5.4,
2008-08-01,5.37,
2008-08-02,5.37,
2008-08-03,5.37,
2008-08-04,5.42,
2008-08-05,5.41,
2008-08-06,5.39,
2008-08-07,5.38,
2008-08-08,5.4,
2008-08-09,5.4,
2008-08-10,5.4,
2008-08-11,5.42,
2008-08-12,5.45,
2008-08-13,5.45,
2008-08-14,5.5,
2008-08-15,5.5,
2008-08-16,5.5,
2008-08-17,5.5,
2008-08-18,5.51,
2008-08-19,5.46,
2008-08-20,5.43,
2008-08-21,5.42,
2008-08-22,5.48,
2008-08-23,5.48,
2008-08-24,5.48,
2008-08-25,5.52,
2008-08-26,5.5,
2008-08-27,5.48,
2008-08-28,5.44,
2008-08-29,5.44,
2008-08-30,5.44,
2008-08-31,5.44,
2008-09-01,5.49,
2008-09-02,5.53,
2008-09-03,5.49,
2008-09-04,5.46,
2008-09-05,5.45,
2008-09-06,5.45,
2008-09-07,5.45,
2008-09-08,5.43,
2008-09-09,5.43,
2008-09-10,5.41,
2008-09-11,5.36,
2008-09-12,5.34,
2008-09-13,5.34,
2008-09-14,5.34,
2008-09-15,5.34,
2008-09-16,5.24,
2008-09-17,5.29,
2008-09-18,5.51,
2008-09-19,5.46,
2008-09-20,5.46,
2008-09-21,5.46,
2008-09-22,5.5,
2008-09-23,5.55,
2008-09-24,5.57,
2008-09-25,5.6,
2008-09-26,5.67,
2008-09-27,5.67,
2008-09-28,5.67,
2008-09-29,5.66,
2008-09-30,5.55,
2008-10-01,5.57,
2008-10-02,5.54,
2008-10-03,5.54,
2008-10-04,5.54,
2008-10-05,5.54,
2008-10-06,5.6,
2008-10-07,5.54,
2008-10-08,5.54,
2008-10-09,5.31,
2008-10-10,5.22,
2008-10-11,5.22,
2008-10-12,5.22,
2008-10-13,5.27,
2008-10-14,5.27,
2008-10-15,5.22,
2008-10-16,5.28,
2008-10-17,5.18,
2008-10-18,5.18,
2008-10-19,5.18,
2008-10-20,5.18,
2008-10-21,5.17,
2008-10-22,5.02,
2008-10-23,5.05,
2008-10-24,5.08,
2008-10-25,5.08,
2008-10-26,5.08,
2008-10-27,4.81,
2008-10-28,4.87,
2008-10-29,4.89,
2008-10-30,4.85,
2008-10-31,4.9,
2008-11-01,4.9,
2008-11-02,4.9,
2008-11-03,4.96,
2008-11-04,4.91,
2008-11-05,4.86,
2008-11-06,4.8,
2008-11-07,4.83,
2008-11-08,4.83,
2008-11-09,4.83,
2008-11-10,5.1,
2008-11-11,5.11,
2008-11-12,5.07,
2008-11-13,5.23,
2008-11-14,5.36,
2008-11-15,5.36,
2008-11-16,5.36,
2008-11-17,5.26,
2008-11-18,5.28,
2008-11-19,5.11,
2008-11-20,5.1,
2008-11-21,4.98,
2008-11-22,4.98,
2008-11-23,4.98,
2008-11-24,5,
2008-11-25,4.96,
2008-11-26,4.88,
2008-11-27,4.86,
2008-11-28,4.88,
2008-11-29,4.88,
2008-11-30,4.88,
2008-12-01,4.78,
